gene,max_abs_coef
ANXA2P2,3.6592731753200116
ANXA2,3.6121502750975014
TSHR,2.5210861512751643
HOXB13,1.7755690036034473
RPL17,1.6913378496968523
APH1A,1.6453915546997395
RPL12,1.627833490607619
RPS4Y1,1.547685802399763
MSX1,1.4094979712401465
INS,1.281031565772259
PRLR,1.230570167909322
GATA3,1.1772862433286164
RPL38,1.1339067537891345
RPL18A,1.0929589272146873
H3F3A,1.0487584542297574
STEAP2,1.024435955647949
RPL14,1.020471191959873
NKX3-1,1.0144271490344527
KRT5,1.0030338742458726
CFL1,0.9891923393986656
FTH1,0.970940698329426
UBC,0.97016996396519
UPK1B,0.9531764326662532
XBP1,0.9528141229278388
GAPDH,0.9344050103654726
MYL6,0.9298634955982379
MCL1,0.9127998592159056
ZFP36L1,0.9067870018432393
FKBP8,0.9038963182081341
EFHD1,0.8983914497343213
NDUFA4L2,0.8470168757326807
MGP,0.8413352829335344
C19orf63,0.8237744971484812
CHGA,0.8205204141358864
DDX3X,0.8180036719905059
BAT2L2,0.7926409814027504
RPS12,0.7911672433334078
ZMIZ1,0.7839463612413596
PPP1CB,0.7770345677509862
NCRNA00188,0.7762341225787951
LGMN,0.773598026696265
ATP2C1,0.7643396473296861
SLC9A3R1,0.7583463277606024
PLUNC,0.7566414334814435
EPCAM,0.7550622337587316
DTNA,0.7501341662790947
MALAT1,0.7466209012519021
ASPH,0.7436045226258358
CHRNA3,0.7329731398813014
PPP2R1A,0.7320510789885658
PCBP2,0.7293025053181175
AHR,0.7217867633227208
IL32,0.720034491996916
LTBP2,0.7199788625335184
RPS7,0.7187547649870135
HNRNPA2B1,0.7184469215297126
FERMT1,0.7059080989270016
NPC2,0.7057048001192883
GRINA,0.7040959097056914
PTMA,0.7019919006383205
CD59,0.7017221798925082
UBB,0.6990947802513563
ANXA4,0.6937977393831389
NONO,0.6914803937550298
ITPR3,0.6904315501582456
RPL37,0.6899373879429544
NAPSA,0.6889085077897501
RHOA,0.6817355541718728
CRP,0.6815520750276259
CYP4B1,0.6812970474556788
PROC,0.6610761521330818
RRBP1,0.6603844658810434
MLPH,0.6537592829081299
EEF1A1P9,0.6467217020444003
TTC3,0.6461256593419034
SSR4,0.6435407229095915
ENPEP,0.6429562551699525
HN1L,0.6392548735531122
KANK2,0.6386660909929357
EPHB3,0.6325752256036716
CLTC,0.6308745591689136
GREM1,0.6287938224885518
SEPP1,0.6234149205284689
TFF2,0.619920362096557
F11R,0.6068710758108045
ACTG1,0.5979354656577058
ZFP36L2,0.594448295242737
HMGB1,0.5929484406609914
SLC44A4,0.585444083039727
CYC1,0.5848743121871065
WDR1,0.5842182595297131
SET,0.5821536573596704
SPTAN1,0.5785390602895041
XIST,0.5764038024581485
YWHAQ,0.5737785434913388
SAT1,0.56867171483125
DYNC1H1,0.5665760916214996
COX4I1,0.5662009683950444
DDX5,0.5645324543391743
LAMB1,0.562007091920634
RPL27,0.5590816132652398
CAPN2,0.5587865384437274
SERPINA1,0.5580382739508761
OGDHL,0.5534437490433838
