gene,n_tables
GATA3,3
INS,3
NKX3-1,3
TSHR,3
ACSM2B,2
AHR,2
ANXA2P2,2
ANXA4,2
ATP2C1,2
C19orf63,2
CD59,2
CHGA,2
CHRNA3,2
CLTC,2
CRP,2
CYP4B1,2
DDX3X,2
DDX5,2
DTNA,2
EEF1A1P9,2
EFHD1,2
ENPEP,2
EPHB3,2
FERMT1,2
FTH1,2
FXYD2,2
GREM1,2
HMGB1,2
HN1L,2
HNRNPA2B1,2
HOXB13,2
ITPR3,2
IYD,2
KANK2,2
KCNJ16,2
KLK2,2
KLK3,2
KRT5,2
LGALS4,2
MALAT1,2
MCL1,2
MGP,2
MSX1,2
NAPSA,2
NCRNA00188,2
NDUFA4L2,2
NONO,2
NPC2,2
PAX8,2
PCBP2,2
PLUNC,2
PPP2R1A,2
PRLR,2
PTMA,2
REG3G,2
RPL17,2
RPS12,2
RPS4Y1,2
RRBP1,2
SAT1,2
SFTPA1,2
SFTPA2,2
SFTPC,2
SLC17A3,2
SLC45A3,2
STEAP2,2
TG,2
TRPS1,2
UBB,2
UBC,2
UPK1B,2
WDR1,2
XBP1,2
XIST,2
ZFP36L2,2
ABCA3,1
ACSM2A,1
ACTG1,1
ADAM6,1
ADAM9,1
AGT,1
AIF1L,1
ALDH4A1,1
ANPEP,1
ANXA2,1
APC2,1
APH1A,1
APLP2,1
APOC3,1
AQP4,1
ASPH,1
ASRGL1,1
ATN1,1
ATP1A3,1
ATP1B3,1
ATP2A3,1
BAALC,1
BAT2L2,1
BCL2L1,1
BHLHE41,1
BSCL2,1
BST2,1
C19orf48,1
C1QC,1
C1orf61,1
C3,1
C4A,1
C4orf7,1
C5,1
CA12,1
CANT1,1
CAPS,1
CD248,1
CD47,1
CD99,1
CDH16,1
CDH17,1
CDK2AP1,1
CEACAM5,1
CEACAM6,1
CEACAM7,1
CELA3A,1
CFL1,1
CNDP2,1
COL14A1,1
COL16A1,1
COL2A1,1
COL6A1,1
COPA,1
COX4I1,1
CRABP2,1
CSTA,1
CTNND2,1
CTSA,1
CTSB,1
CTSC,1
CTSE,1
CTSK,1
CXCL12,1
CXCL17,1
CXCL5,1
CXCR4,1
CYB561,1
CYC1,1
DBH,1
DDIT4,1
DIO2,1
DLK1,1
DMBT1,1
DNAJC10,1
DUSP6,1
DYNC1H1,1
EIF1,1
EIF3A,1
EIF4A2,1
ENC1,1
EPCAM,1
ETS2,1
F10,1
F11R,1
F3,1
FABP5,1
FAIM2,1
FAT2,1
FCGBP,1
FEZ1,1
FGFR1,1
FKBP4,1
FKBP8,1
FN1,1
FOLR1,1
GABRP,1
GALNT11,1
GAPDH,1
GCG,1
GJB6,1
GPM6A,1
GPM6B,1
GPX3,1
GRINA,1
H3F3A,1
HABP2,1
HAND2,1
HMGB3,1
HMOX1,1
HMP19,1
HSP90AB1,1
HSPA8,1
HSPB1,1
IDH1,1
IGF2,1
IGJ,1
IL32,1
IRAK1,1
KLK1,1
KLK4,1
KLK7,1
KRT20,1
L1CAM,1
LAMB1,1
LAMC1,1
LAPTM4A,1
LAPTM4B,1
LCP1,1
LDHB,1
LGALS3BP,1
LGMN,1
LMO3,1
LTBP2,1
MARCKSL1,1
MCM7,1
MEG3,1
MGLL,1
MKI67,1
MLC1,1
MLEC,1
MLPH,1
MMP11,1
MMP7,1
MMP9,1
MUC16,1
MYL6,1
MYO1D,1
NAMPT,1
NAT8,1
NCOR2,1
NET1,1
NPNT,1
OLFML2B,1
PCDHGC3,1
PEA15,1
PFKP,1
PFN1,1
PGAM1,1
PGK1,1
PIGR,1
PKN1,1
PLAT,1
PLAU,1
PLEC,1
PLXND1,1
PMP2,1
POLR2A,1
PPAP2B,1
PPP1CA,1
PPP1CB,1
PPP3CA,1
PRKCSH,1
PROC,1
PRSS8,1
PSCA,1
PTGS1,1
PTGS2,1
PTPRN,1
PTPRZ1,1
QKI,1
RBM3,1
RCN1,1
RGS5,1
RHOA,1
RNF213,1
RPL12,1
RPL14,1
RPL18A,1
RPL23A,1
RPL27,1
RPL37,1
RPL38,1
RPL41,1
RPS7,1
RPSAP58,1
S100A10,1
SCGB1A1,1
SCGB3A2,1
SEPP1,1
SERPINB3,1
SERPINB4,1
SERPINE2,1
SET,1
SFRP1,1
SFRP2,1
SFRP4,1
SFTPB,1
SFTPD,1
SHISA5,1
SILV,1
SLC1A3,1
SLC39A14,1
SLC3A1,1
SLC44A4,1
SLC9A3R1,1
SNCG,1
SNX1,1
SOX4,1
SOX9,1
SPDEF,1
SPINK4,1
SPON1,1
SPP1,1
SPTAN1,1
SSR4,1
SST,1
STMN2,1
SULF1,1
TARP,1
TFF2,1
TGFBR2,1
TGOLN2,1
TH,1
THSD4,1
TIMP2,1
TM4SF4,1
TMEM130,1
TMPRSS2,1
TMPRSS4,1
TMSL3,1
TNFSF10,1
TRPM4,1
TRPM8,1
TSIX,1
TTC3,1
TTR,1
TUBB2C,1
TUBB3,1
TXNIP,1
TXNRD1,1
VCAM1,1
VCAN,1
VTCN1,1
YAP1,1
YWHAQ,1
ZFP36L1,1
ZMIZ1,1
ZNF395,1
