true_class,predicted_class,count,error_rate_within_true_class
ESCA,STAD,10,0.2702702702702703
LUSC,LUAD,9,0.09
KIRP,KIRC,4,0.06896551724137931
CESC,UCEC,3,0.04918032786885246
STAD,ESCA,3,0.03614457831325301
CESC,BRCA,2,0.03278688524590164
PAAD,STAD,1,0.02857142857142857
ESCA,HNSC,1,0.02702702702702703
LUAD,BLCA,2,0.019417475728155338
HNSC,SARC,2,0.019230769230769232
SARC,BRCA,1,0.019230769230769232
SARC,STAD,1,0.019230769230769232
KIRP,BLCA,1,0.017241379310344827
CESC,HNSC,1,0.01639344262295082
LIHC,KIRP,1,0.013513513513513514
