gene,n_tables
EFHD1,3
FOXE1,3
HOXB13,3
KLK2,3
LGALS4,3
NKX3-1,3
PRSS3,3
SOX17,3
TSHR,3
AGT,2
ANKH,2
ANXA2P2,2
ASRGL1,2
C11orf9,2
CCL25,2
CD99,2
CDH16,2
CDX2,2
CRYAB,2
CSNK2B,2
CTSB,2
CTSE,2
CXCL17,2
DBN1,2
DSC3,2
FAT2,2
FERMT1,2
FGFR4,2
FN1,2
GABRP,2
GAS6,2
GATA3,2
GOLGA4,2
GREM1,2
HMGB3,2
HOXB9,2
ID4,2
IGFBP7,2
ISYNA1,2
KCNE3,2
KLK4,2
LPCAT1,2
MALAT1,2
MECOM,2
MGP,2
MKI67,2
MSX1,2
MYO1D,2
NOX1,2
PAX8,2
POSTN,2
PPP3CA,2
PRAME,2
PTMA,2
RPL7,2
RPS4Y1,2
SCGB1A1,2
SFRP1,2
TM4SF4,2
TP63,2
TRPS1,2
TRPV6,2
TUBB6,2
TXNRD1,2
UBD,2
XAGE1D,2
ABCA3,1
ABCC1,1
ABCC3,1
ACPP,1
ACSM2A,1
ADAM12,1
AFAP1L2,1
AGER,1
ANPEP,1
ATP2C1,1
ATP6V0D2,1
BHMT,1
C14orf147,1
C19orf48,1
C1QC,1
C20orf114,1
C2orf72,1
C5,1
C5orf13,1
C5orf32,1
CALML5,1
CCL21,1
CDC42EP1,1
CDH17,1
CEACAM5,1
CEBPA,1
CECR1,1
CHRNA2,1
CILP,1
CPVL,1
CRABP2,1
CRP,1
CXCL14,1
DAB2,1
DCBLD2,1
EIF3A,1
EMB,1
EPB41L2,1
EVL,1
FAM3D,1
FAM60A,1
FOS,1
FXYD2,1
GABARAPL1,1
GALNT14,1
GCLC,1
GLS,1
GPA33,1
GPR56,1
HEPH,1
HMOX1,1
HNRNPA0,1
HSPA2,1
ID3,1
IFI16,1
INHBE,1
INPP5J,1
IRF6,1
ITIH5,1
JUN,1
KCNJ16,1
KIAA1191,1
KLK1,1
KLK3,1
KREMEN1,1
LDHB,1
LIPG,1
LPGAT1,1
LTF,1
MAGEA4,1
MLEC,1
MMP7,1
MUC15,1
MUC16,1
MUC2,1
MUC6,1
MYH14,1
NAPSA,1
NEBL,1
NKX2-1,1
NOTUM,1
NPNT,1
PADI2,1
PCA3,1
PCNA,1
PIK3R3,1
PKP1,1
PLIN4,1
PLXNB1,1
PPP1CB,1
PSAT1,1
PSCA,1
PXN,1
RAB34,1
RDH11,1
REG3G,1
RGS1,1
RGS2,1
ROD1,1
RPL12,1
RPL17,1
SCGB3A2,1
SERPINE1,1
SFRP2,1
SFTA2,1
SFTA3,1
SFTPA1,1
SFTPA2,1
SFTPB,1
SLC17A3,1
SLC2A3,1
SLC44A4,1
SLC45A3,1
SLC5A6,1
SNX1,1
SOX4,1
SOX9,1
SPATS2L,1
SPRR2G,1
ST3GAL5,1
STEAP2,1
STX18,1
TCN1,1
TFF2,1
TFPI2,1
TG,1
TGFB1,1
TIMP1,1
TPO,1
TRAP1,1
TTC3,1
UBB,1
UBC,1
VDAC1,1
VTCN1,1
WSB1,1
YAP1,1
ZNF395,1
