class,rank,gene,coef,class_direction_score,abs_coef
BRCA,1,SFRP1,0.0994374068894437,0.0994374068894437,0.0994374068894437
BRCA,2,GABRP,0.09444487946291262,0.09444487946291262,0.09444487946291262
BRCA,3,POSTN,0.08350277437996986,0.08350277437996986,0.08350277437996986
BRCA,4,PADI2,0.08120097981721282,0.08120097981721282,0.08120097981721282
BRCA,5,MGP,0.07787876417740841,0.07787876417740841,0.07787876417740841
BRCA,6,CALML5,0.07629614364207336,0.07629614364207336,0.07629614364207336
BRCA,7,TCN1,0.07303392314272658,0.07303392314272658,0.07303392314272658
BRCA,8,SLC5A6,0.06707948389950834,0.06707948389950834,0.06707948389950834
BRCA,9,TRPS1,0.06579736949247003,0.06579736949247003,0.06579736949247003
BRCA,10,CRABP2,0.06475623462231662,0.06475623462231662,0.06475623462231662
BRCA,11,VTCN1,0.06461229893409579,0.06461229893409579,0.06461229893409579
BRCA,12,SFRP2,0.06332756602823958,0.06332756602823958,0.06332756602823958
BRCA,13,GATA3,0.06322435315778906,0.06322435315778906,0.06322435315778906
BRCA,14,MUC16,0.0626762724712906,0.0626762724712906,0.0626762724712906
BRCA,15,EFHD1,0.0626074346008254,0.0626074346008254,0.0626074346008254
COAD,1,NOX1,0.10555460322121413,0.10555460322121413,0.10555460322121413
COAD,2,HEPH,0.08894413958778948,0.08894413958778948,0.08894413958778948
COAD,3,CDH17,0.08878000400109902,0.08878000400109902,0.08878000400109902
COAD,4,HOXB9,0.08637397176927697,0.08637397176927697,0.08637397176927697
COAD,5,FERMT1,0.08244912127883075,0.08244912127883075,0.08244912127883075
COAD,6,EPB41L2,0.08143129974581388,0.08143129974581388,0.08143129974581388
COAD,7,LGALS4,0.08046294370930597,0.08046294370930597,0.08046294370930597
COAD,8,MYO1D,0.07915982208987324,0.07915982208987324,0.07915982208987324
COAD,9,PLIN4,0.07771546073999688,0.07771546073999688,0.07771546073999688
COAD,10,FAM3D,0.07766445806997424,0.07766445806997424,0.07766445806997424
COAD,11,MUC2,0.07314669978380434,0.07314669978380434,0.07314669978380434
COAD,12,ADAM12,0.07220071838074557,0.07220071838074557,0.07220071838074557
COAD,13,CEACAM5,0.07108554772863833,0.07108554772863833,0.07108554772863833
COAD,14,MLEC,0.07086957276157238,0.07086957276157238,0.07086957276157238
COAD,15,CDX2,0.06902485412275663,0.06902485412275663,0.06902485412275663
HNSC,1,C20orf114,0.08427561048450063,0.08427561048450063,0.08427561048450063
HNSC,2,ANXA2P2,0.07603577963944673,0.07603577963944673,0.07603577963944673
HNSC,3,CD99,0.06879423202494409,0.06879423202494409,0.06879423202494409
HNSC,4,TP63,0.06740732374122649,0.06740732374122649,0.06740732374122649
HNSC,5,KREMEN1,0.06700133350532114,0.06700133350532114,0.06700133350532114
HNSC,6,IRF6,0.06672086275305582,0.06672086275305582,0.06672086275305582
HNSC,7,RPS4Y1,0.06556735139761055,0.06556735139761055,0.06556735139761055
HNSC,8,YAP1,0.0655006180199719,0.0655006180199719,0.0655006180199719
HNSC,9,HSPA2,0.06337527875929062,0.06337527875929062,0.06337527875929062
HNSC,10,DSC3,0.06221784754470107,0.06221784754470107,0.06221784754470107
