rank,gene,importance
1,PAX8,0.013048404980824782
2,SOX17,0.011670571218286916
3,TG,0.010642014956901704
4,SLC17A3,0.008392705462516846
5,TSHR,0.008055439099638961
6,SFTA3,0.007492762195347578
7,KLK3,0.0069172959551136795
8,NKX2-1,0.006815815145902407
9,KLK2,0.006782444311189747
10,FOXE1,0.0065914191520800225
11,SFTPA1,0.00614230174113929
12,SCGB3A2,0.006079361326369234
13,KLK4,0.006012783899406857
14,BHMT,0.005992719732612918
15,PCA3,0.005954675522413109
16,ACPP,0.005949519170814809
17,SLC45A3,0.005946674164220638
18,KCNJ16,0.0057887209294508355
19,ACSM2A,0.005716972404071558
20,TPO,0.005708728611684094
21,SFTPB,0.005643797769920017
22,NKX3-1,0.005642113103870174
23,HOXB13,0.00563497714619303
24,RDH11,0.005620863705707763
25,CHRNA2,0.005220532265342136
26,LGALS4,0.005085693341921469
27,GPA33,0.005058132396861665
28,SPRR2G,0.0050481554559894505
29,PRSS3,0.004977351935020001
30,EFHD1,0.004778076616217996
