class,precision,recall,f1-score,support
BLCA,0.975609756097561,0.975609756097561,0.975609756097561,82.0
BRCA,0.99,0.99,0.99,200.0
CESC,0.9491525423728814,0.9180327868852459,0.9333333333333333,61.0
COAD,0.9888888888888889,0.9888888888888889,0.9888888888888889,90.0
ESCA,0.8461538461538461,0.8918918918918919,0.868421052631579,37.0
HNSC,0.9439252336448598,0.9711538461538461,0.957345971563981,104.0
KIRC,0.9537037037037037,0.9626168224299065,0.958139534883721,107.0
KIRP,0.9629629629629629,0.896551724137931,0.9285714285714286,58.0
LGG,1.0,0.9902912621359223,0.9951219512195122,103.0
LIHC,1.0,0.972972972972973,0.9863013698630136,74.0
LUAD,0.9009009009009009,0.970873786407767,0.9345794392523364,103.0
LUSC,0.9361702127659575,0.88,0.9072164948453608,100.0
OV,1.0,1.0,1.0,61.0
PAAD,0.918918918918919,0.9714285714285714,0.9444444444444444,35.0
PCPG,1.0,1.0,1.0,36.0
PRAD,1.0,1.0,1.0,99.0
SARC,0.9444444444444444,0.9807692307692307,0.9622641509433962,52.0
STAD,0.9367088607594937,0.891566265060241,0.9135802469135802,83.0
THCA,1.0,1.0,1.0,101.0
UCEC,0.9813084112149533,0.9905660377358491,0.9859154929577465,106.0
accuracy,0.9663120567375887,0.9663120567375887,0.9663120567375887,0.9663120567375887
macro avg,0.9614424341414687,0.9621606921497913,0.9614866778204941,1692.0
weighted avg,0.9667381703393242,0.9663120567375887,0.9662539330011921,1692.0
