BLCA,BRCA,CESC,COAD,ESCA,HNSC,KIRC,KIRP,LGG,LIHC,LUAD,LUSC,OV,PAAD,PCPG,PRAD,SARC,STAD,THCA,UCEC
80,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,198,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,56,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
0,0,1,0,0,101,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,1,0,0,0,0,103,2,0,0,0,0,0,0,0,0,1,0,0,0
1,0,0,0,0,0,5,52,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,102,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,72,0,0,0,1,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,100,3,0,0,0,0,0,0,0,0
0,0,1,0,0,2,0,0,0,0,9,88,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,34,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0
0,0,0,1,6,0,0,0,0,0,1,1,0,0,0,0,0,74,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105
