BLCA,BRCA,CESC,COAD,ESCA,HNSC,KIRC,KIRP,LGG,LIHC,LUAD,LUSC,OV,PAAD,PCPG,PRAD,SARC,STAD,THCA,UCEC
80,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,194,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,0,0
0,0,56,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2
0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
0,0,5,0,1,94,0,0,0,0,0,4,0,0,0,0,0,0,0,0
0,0,0,0,0,0,101,5,0,0,0,0,0,0,0,0,1,0,0,0
1,0,0,0,0,0,4,53,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,102,0,0,0,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,0,0,71,0,0,0,2,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,100,3,0,0,0,0,0,0,0,0
0,0,3,0,0,1,0,0,0,0,11,85,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,34,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,51,0,0,0
0,0,0,1,14,0,0,0,0,0,1,1,0,0,0,0,0,66,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,100,0
0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,102
