class,support,correct,class_accuracy_recall
BLCA,82,80,0.975609756097561
BRCA,200,198,0.99
CESC,61,56,0.9180327868852459
COAD,90,89,0.9888888888888889
ESCA,37,33,0.8918918918918919
HNSC,104,101,0.9711538461538461
KIRC,107,103,0.9626168224299065
KIRP,58,52,0.896551724137931
LGG,103,102,0.9902912621359223
LIHC,74,72,0.972972972972973
LUAD,103,100,0.970873786407767
LUSC,100,88,0.88
OV,61,61,1.0
PAAD,35,34,0.9714285714285714
PCPG,36,36,1.0
PRAD,99,99,1.0
SARC,52,51,0.9807692307692307
STAD,83,74,0.891566265060241
THCA,101,101,1.0
UCEC,106,105,0.9905660377358491
