true_class,predicted_class,count,error_rate_within_true_class
ESCA,STAD,4,0.10810810810810811
LUSC,LUAD,9,0.09
KIRP,KIRC,5,0.08620689655172414
STAD,ESCA,6,0.07228915662650602
CESC,HNSC,3,0.04918032786885246
CESC,UCEC,2,0.03278688524590164
LUAD,LUSC,3,0.02912621359223301
PAAD,LUAD,1,0.02857142857142857
LUSC,HNSC,2,0.02
SARC,BRCA,1,0.019230769230769232
KIRC,KIRP,2,0.018691588785046728
KIRP,BLCA,1,0.017241379310344827
LIHC,PAAD,1,0.013513513513513514
LIHC,SARC,1,0.013513513513513514
BLCA,HNSC,1,0.012195121951219513
