class,precision,recall,f1-score,support
BLCA,0.9411764705882353,0.975609756097561,0.9580838323353293,82.0
BRCA,0.9800995024875622,0.985,0.9825436408977556,200.0
CESC,0.9649122807017544,0.9016393442622951,0.9322033898305084,61.0
COAD,1.0,0.9888888888888889,0.994413407821229,90.0
ESCA,0.896551724137931,0.7027027027027027,0.7878787878787878,37.0
HNSC,0.9619047619047619,0.9711538461538461,0.9665071770334929,104.0
KIRC,0.963302752293578,0.9813084112149533,0.9722222222222222,107.0
KIRP,0.9636363636363636,0.9137931034482759,0.9380530973451328,58.0
LGG,1.0,0.9902912621359223,0.9951219512195122,103.0
LIHC,1.0,0.972972972972973,0.9863013698630136,74.0
LUAD,0.9090909090909091,0.970873786407767,0.9389671361502347,103.0
LUSC,0.9777777777777777,0.88,0.9263157894736842,100.0
OV,1.0,1.0,1.0,61.0
PAAD,1.0,0.9714285714285714,0.9855072463768116,35.0
PCPG,1.0,1.0,1.0,36.0
PRAD,1.0,1.0,1.0,99.0
SARC,0.8620689655172413,0.9615384615384616,0.9090909090909091,52.0
STAD,0.8695652173913043,0.963855421686747,0.9142857142857143,83.0
THCA,1.0,0.9900990099009901,0.9950248756218906,101.0
UCEC,0.9629629629629629,0.9811320754716981,0.9719626168224299,106.0
accuracy,0.9645390070921985,0.9645390070921985,0.9645390070921985,0.9645390070921985
macro avg,0.9626524844245191,0.9551143807155826,0.9577241582134329,1692.0
weighted avg,0.9655558791753344,0.9645390070921985,0.964268402021482,1692.0
