BLCA,BRCA,CESC,COAD,ESCA,HNSC,KIRC,KIRP,LGG,LIHC,LUAD,LUSC,OV,PAAD,PCPG,PRAD,SARC,STAD,THCA,UCEC
80,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0,197,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,2,55,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,26,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0
0,0,0,0,0,101,0,0,0,0,0,1,0,0,0,0,2,0,0,0
0,0,0,0,0,0,105,1,0,0,0,0,0,0,0,0,1,0,0,0
1,0,0,0,0,0,4,53,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,1,0,72,0,0,0,0,0,0,1,0,0,0
2,0,0,0,0,0,0,0,0,0,100,1,0,0,0,0,0,0,0,0
1,0,1,0,0,1,0,0,0,0,9,88,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1,0,0
0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,104
