class,support,correct,class_accuracy_recall
BLCA,82,80,0.975609756097561
BRCA,200,197,0.985
CESC,61,55,0.9016393442622951
COAD,90,89,0.9888888888888889
ESCA,37,26,0.7027027027027027
HNSC,104,101,0.9711538461538461
KIRC,107,105,0.9813084112149533
KIRP,58,53,0.9137931034482759
LGG,103,102,0.9902912621359223
LIHC,74,72,0.972972972972973
LUAD,103,100,0.970873786407767
LUSC,100,88,0.88
OV,61,61,1.0
PAAD,35,34,0.9714285714285714
PCPG,36,36,1.0
PRAD,99,99,1.0
SARC,52,50,0.9615384615384616
STAD,83,80,0.963855421686747
THCA,101,100,0.9900990099009901
UCEC,106,104,0.9811320754716981
